project,classes_parsed,nclones_total,nclones_avg_all,log_path
activemq-java,1216,4559,3.749,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/activemq-java/step2_nicad_activemq-java_sim0.7_classes_fqn.log
ant-ivy-java,158,628,3.975,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/ant-ivy-java/step2_nicad_ant-ivy-java_sim0.7_classes_fqn.log
ant-java,223,593,2.659,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/ant-java/step2_nicad_ant-java_sim0.7_classes_fqn.log
argouml-java,358,1351,3.774,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/argouml-java/step2_nicad_argouml-java_sim0.7_classes_fqn.log
camel-java,3336,19495,5.844,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/camel-java/step2_nicad_camel-java_sim0.7_classes_fqn.log
cassandra-java,1069,3057,2.860,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/cassandra-java/step2_nicad_cassandra-java_sim0.7_classes_fqn.log
cayenne-java,656,2574,3.924,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/cayenne-java/step2_nicad_cayenne-java_sim0.7_classes_fqn.log
closure-compiler-java,79,222,2.810,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/closure-compiler-java/step2_nicad_closure-compiler-java_sim0.7_classes_fqn.log
commons-codec-java,59,153,2.593,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/commons-codec-java/step2_nicad_commons-codec-java_sim0.7_classes_fqn.log
commons-lang-java,353,1225,3.470,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/commons-lang-java/step2_nicad_commons-lang-java_sim0.7_classes_fqn.log
commons-math-java,416,1343,3.228,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/commons-math-java/step2_nicad_commons-math-java_sim0.7_classes_fqn.log
cxf-java,1699,6491,3.820,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/cxf-java/step2_nicad_cxf-java_sim0.7_classes_fqn.log
derby-java,987,3429,3.474,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/derby-java/step2_nicad_derby-java_sim0.7_classes_fqn.log
dubbo-java,676,1918,2.837,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/dubbo-java/step2_nicad_dubbo-java_sim0.7_classes_fqn.log
eclipse.jdt.core-java,1544,10572,6.847,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/eclipse.jdt.core-java/step2_nicad_eclipse.jdt.core-java_sim0.7_classes_fqn.log
elasticsearch-java,3657,15117,4.134,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/elasticsearch-java/step2_nicad_elasticsearch-java_sim0.7_classes_fqn.log
flink-java,2306,7571,3.283,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/flink-java/step2_nicad_flink-java_sim0.7_classes_fqn.log
groovy-java,160,540,3.375,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/groovy-java/step2_nicad_groovy-java_sim0.7_classes_fqn.log
gson-java,79,212,2.684,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/gson-java/step2_nicad_gson-java_sim0.7_classes_fqn.log
hadoop-java,3455,11363,3.289,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/hadoop-java/step2_nicad_hadoop-java_sim0.7_classes_fqn.log
hbase-java,1545,6768,4.381,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/hbase-java/step2_nicad_hbase-java_sim0.7_classes_fqn.log
hive-java,2213,12084,5.460,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/hive-java/step2_nicad_hive-java_sim0.7_classes_fqn.log
ignite-java,1783,7616,4.271,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/ignite-java/step2_nicad_ignite-java_sim0.7_classes_fqn.log
